Molecule_ChEMBL_ID	Smiles	Standard_Type	Standard_Value	Standard_Units	Document_Year
CHEMBL2435614	COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)c3nc4ccccc4s3)cc12	Papp	18.9	10^-6 cm/s	2022
CHEMBL5200689	O=C(C[C@H](CCN1CCCCC1)NC(=O)c1cc(-c2ccccc2C(F)(F)F)n(C2CCCC2)n1)NC1CCC1	Papp	52	10^-6 cm/s	2022
CHEMBL5196665	CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(-c3ccsc3)cc2OC)[C@H]1NC(C)=O	Papp	0.0262	10^-6 cm/s	2022
CHEMBL5189996	CCCCSC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4cccc(F)c4)nn3)[C@H]2O)[C@H](O)[C@@H](n2cc(-c3cccc(F)c3)nn2)[C@H]1O	Papp	0.06	10^-6 cm/s	2022
CHEMBL5192430	Cc1cc2ncccc2cc1Nc1ncc2c(n1)n(C1CCNCC1)c(=O)n2C	Papp	0.7	10^-6 cm/s	2022
CHEMBL5209268	C[C@@H](C1CC1)N1Cc2cc(-c3ccn4nc(N)c(C(=O)N[C@H]5CC[C@@](C)(O)CC5)c4n3)cc(OC(F)F)c2C1=O	Papp	16.8	10^-6 cm/s	2022
CHEMBL5174113	COc1ccc(C(=O)Nc2cccc([C@]3(C)O[C@H]4CO[C@@H]5N4[C@H]3O[C@@]5(C)c3cccc(NC(=O)c4ccc(OC)cc4)c3)c2)cc1	Papp	1.4	10^-6 cm/s	2022
CHEMBL5183899	Cl.O=C(CCCC[C@@H]1CCSS1)OCCN1CCOCC1	Papp	0.705	10^-6 cm/s	2022
CHEMBL5184871	CC(=O)N1CCN(c2cccc(NC(=O)c3cc4c(F)ccc(C)c4[nH]3)c2)CC1	Papp	5.2	10^-6 cm/s	2022
CHEMBL5180330	CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCCc4ccc(OC)c(OC)c4)nc(C#Cc4ccc(Cl)s4)nc31)[C@H](O)[C@@H]2O	Papp	0.44	10^-6 cm/s	2022
CHEMBL5220590	C[C@@H]1Cc2cc(C(N)=O)cnc2N1	Papp	27.5	10^-6 cm/s	2022
CHEMBL5194980	COc1ccc(C(=O)Nc2cccc([C@@]3(C)O[C@H]4CO[C@@H]5N4[C@H]3O[C@]5(C)c3cccc(NC(=O)c4ccc(OC)cc4)c3)c2)cc1	Papp	19.4	10^-6 cm/s	2022
CHEMBL5202710	O=C(CCCC[C@@H]1CCSS1)O[C@H]1[C@H](O)[C@@H](CO)OC(O)[C@@H]1O	Papp	2.72	10^-6 cm/s	2022
CHEMBL5092602	CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1COC(=O)c2cccc(-c3ccc(C(=O)O)cc3)c2CSC[C@H](C(=O)N(C)C)NC1=O	Papp	0.16	10^-6 cm/s	2022
CHEMBL5090554	OC[C@H]1O[C@@H](Oc2ccc(Cc3ccc(O)c(O)c3)cc2)[C@H](O)[C@@H](O)[C@@H]1O	Papp	2.34	10^-6 cm/s	2022
CHEMBL5195332	Cc1cnn(CC[C@@H](CC(=O)NC2CCC2)NC(=O)c2cc(-c3ccccc3C(F)(F)F)n(C3CCCC3)n2)c1	Papp	24	10^-6 cm/s	2022
